product_name,product_number,price
Viking Ship and the Midgard Serpent,31132,
Dom's Dodge Charger,42111,
Cargo Train,10875,
Pickup Truck,10290,
Wild Animals of the World,10975,
12 Grimmauld Place,76408,
The Llama Village,21188,
Thor's Hammer,76209,
123 Sesame Street,21324,
The Modern Treehouse,21174,
Pirate Ship,31109,184.35
Art Project - Create Together,21226,
Elvis Presley “The King”,31204,
Disney's Mickey Mouse,31202,
Harry Potter™ Hogwarts™ Crests,31201,
LEGO® NASA Apollo Saturn V,92176,
tbd-LEAF-13-2022,71408,
Great Pyramid of Giza,21058,
Amusement Park,10956,
The Razor Crest™,75292,
tbd-IP-LSW-19-2022,75337,
Passenger Train,60197,
The Rolling Stones,31206,
Giganotosaurus & Therizinosaurus Attack,76949,
Express Passenger Train,60337,
Harry Potter™ & Hermione Granger™,76393,
Off-Road Buggy,42124,
Double Loop Stunt Arena,60339,
App-Controlled Transformation Vehicle,42140,
Rocket Launch Center,60351,
Hydro Bounty,71756,
Lloyd’s Golden Ultra Dragon,71774,
Main Street Building,41704,
tbd-PT-IP-4-2021,75574,
The City of Lanterns,80036,
Hogwarts™ Chamber of Secrets,76389,
Ford® F-150 Raptor,42126,
Ford Mustang,10265,
Porsche 911,10295,
Vincent van Gogh - The Starry Night,21333,
tbd-Icons-IP-Vehicle-2-2022,10304,
tbd-IP-LSW4-2022,75323,
Volkswagen T2 Camper Van,10279,
The Guardians’ Ship,76193,
Heavy-duty Tow Truck,42128,
Mickey Mouse & Minnie Mouse Buildable Ch,43179,
Optimus Prime,10302,
Imperial Light Cruiser™,75315,
Back to the Future Time Machine,10300,
Ferrari 488 GTE “AF Corse #51”,42125,
NASA Space Shuttle Discovery,10283,
McLaren Formula 1™ Race Car,42141,
The Heavenly Realms,80039,
Airbus H175 Rescue Helicopter,42145,
Super Mario 64™ Question Mark Block,71395,
Boutique Hotel,10297,
1989 Batwing,76161,
Land Rover Defender,42110,1362.41
Freight Train,60336,60.80
tbd-Icons-IP-Games-1-2022,10306,
Luke Skywalker’s Landspeeder™,75341,
Ghostbusters™ ECTO-1,10274,
R2-D2™,75308,
BMW M 1000 RR,42130,
tbd-Ideas-7-2022,21337,
Nintendo Entertainment System™,71374,
tbd-LSH-17-2022,76218,
tbd-LEAF-16-2022,71411,
Assembly Square,10255,
tbd-Ideas-5-2022,21335,
Hogwarts™ Icons - Collectors' Edition,76391,
App-Controlled 4x4 Mercedes-Benz Zetros Trial Truck,42129,
Old Trafford - Manchester United,10272,
NINJAGO® City Gardens,71741,111.00
Camp Nou – FC Barcelona,10284,
Daily Bugle,76178,
tbd-LSH-14-2022,76215,
Robot Inventor,51515,
Real Madrid – Santiago Bernabéu Stadium,10299,
tbd-Icons-Special-1-2022,10305,
Grand Piano,21323,
Ferrari Daytona SP3,42143,
Republic Gunship™,75309,
Lamborghini Sián FKP 37,42115,
Mos Eisley Cantina™,75290,
Diagon Alley™,75978,
Bugatti Chiron,42083,
tbd-HP-10-2022-D2C,76405,
App-Controlled Cat® D11 Bulldozer,42131,
Imperial Star Destroyer™,75252,
tbd-Icons-World-Buildings-1-2022,10307,
Millennium Falcon™,75192,
tbd-IP-LSW-13-2022,75331,
AT-AT™,75313,32.66
tbd-LSH-9-2022,76210,
6x6 Volvo Articulated Hauler,42114,
